Title,Company,Industry,Role,Salary,City,Description,Experience,RecruiterName,RecruiterNumber,Website
Cost Accountant,SKAN TECH CONSULTANCY  hiring for Our client is a blue chip MNC,"Industrial Products, Heavy Machinery",Cost Accountant,Not Disclosed by Recruiter,nagpur,"Our client, a bluechip MNC with a plant in Nagpur is looking for a qualified Cost Accountant in Nagpur. Candidates need to have an ICWA degree with hands on experience in industrial costing. Exposure to SAP is a must. Experience in an MNC is desirable, along with the ability to work directly with managers based abroad. Excellent communication skills, a pleasing personality and the ability to work together with a multi-cultural team is essential.      THIS REQUIREMENT IS URGENT, PLEASE EMAIL US YOUR APPLICATIONS ASAP.",3 - 8 yrs,VandanaChatterjee,NA,NA
Hot Vacancy||hiring.net Developer-nagpur,Sdora Consulting Pvt Ltd,"IT-Software, Software Services",Software Developer,"INR 2,00,000 - 7,00,000 PA.",nagpur,"Urgent opening for .Net Developer for Nagpur location  Profile:.Net Developer Exp:4 to 7 Year Np:Max 30 Days  Jd: Key aspects to perform the role successfully:  - Strong knowledge of .NET framework 4.5, 4.6, .NET Core  - Strong Knowledge of Asp.Net MVC 5  - Strong understanding of object-oriented programming  - Proficient in C#, with a good knowledge of their ecosystems  - Proficient javascript, Jquery.  - Knowledge of Angular - 2 to 6 added advantage  - Skill for writing reusable libraries.  - Knowledge of Unit of Work, Generic Repository Pattern  - Familiarity with Microsoft SQL Server  - Experience With Entity Framework.  - Experience with SQL Server reports.  If you are interested plz send me resume or call Total Exp:? Relevant Exp:? Np:? CTC:? ECTC:?    Regards Pramila 9453936065 pramilasdora@gmail.com",4 - 8 yrs,PramilaPatel,9354936065,NA
HOT | Job Opportunity for .net Developer @ Nagpur,Sdora Consulting Pvt Ltd  hiring for .net developer,"IT-Software, Software Services",Software Developer,"INR 4,00,000 - 9,00,000 PA.",nagpur,"We came across your resume and would like to refer a suitable opening for .net developer  Designation :: .Net Developer Experience 4 to 10 years Location: Nagpur. Type :: Permanent  JD: We are seeking a .NET developer responsible for building .NET applications using ASP.NET MVC. Your primary responsibility will be to design and develop application functionality based on the requirements from client.  A commitment to collaborative problem solving, sophisticated design, and quality product is essential.  Your performance will depend on: - Ability to Design, build, and maintain efficient, reusable, and reliable code - Ensuring and implementing the best possible performance, quality, and responsiveness of applications - Ability to Identify bottlenecks and bugs, and devise solutions to mitigate and address these issues - Flexible and proactive working style with strong personal ownership of problem resolution. - Ability to multi-task under pressure and work independently with minimal supervision. - Commitment to optimization and accountability evident in creating technical documentation for reference and reporting   Key aspects to perform the role successfully: - Strong knowledge of .NET framework 4.5, 4.6, .NET Core - Strong Knowledge of Asp.Net MVC 5 - Strong understanding of object-oriented programming - Proficient in C#, with a good knowledge of their ecosystems - Proficient javascript, Jquery. - Knowledge of Angular - 2 to 6 added advantage - Skill for writing reusable libraries. - Knowledge of Unit of Work, Generic Repository Pattern - Familiarity with Microsoft SQL Server - Experience With Entity Framework. - Experience with SQL Server reports.  If interested , kindly share your updated resume along with below details :: Total Experience Current CTC Expected CTC Notice Period Reason for job change  Regards Rashmi || TAS rashmi.sdora@gmail.com Sdora Consulting",4 - 9 yrs,AnupriyaAggarwal,NA,NA
Executive Assistant to Md(only Female),Barbrik Project Limited,"Construction, Engineering, Cement, Metals",Legal Manager,"INR 3,00,000 - 5,00,000 PA.",nagpur,"Designation- Liaisoning Officer/Manager
Experience- Min. 5 Yrs in relevant profile
Job Role- Managed a team of approximately 10 employees in a busywork environment.
 Co-ordinate with local Leader.
 Co-ordinate with govern",6 - 11 yrs,DimpleSoni,9111000443,NA
Manager / Sr. Mng - Process Excellence,Golden Opportunities Pvt Ltd,"BPO, Call Centre, ITeS",Operations Manager,"INR 10,00,000 - 18,00,000 PA.",nagpur,A Certified Six Sigma Black Belt with 10+  years of hands on experience in driving process improvement projects In the F&A domain across all towers of PTP  OTC and RTR   To identify and lead process improvements across FAO process					 Deliver Business Benefits through application of Lean Six Sigma Methodologies					 Train	 Coach and Mentor Green Belt candidates to complete the projects and help them in Certifications 				 Support accounts in ensuring compliance to various audit standards such as ISO	 CMMi  effectively coordinate with Internal  team to ensure Audit Readiness in Process Excellence				 Supporting accounts with analytical activities such as Capacity Estimation and Planning	 Volume Forecasting	 Load Balancing	 VA/ NVA analysis etc.		 Drive the culture of continuous improvement	 automation and operational analytics on the floor by engaging with Stakeholders at various levels including clients	 BRMs	 Customer Leaders and Operations Team		 IC role					 Should have individually Completed 3+ End to End High Impact BB projects.					 Tenure Certified BB leader. 					 Open to working in Night shifts ( 11:30 PM to 6:30 AM Window).,7 - 12 yrs,Shridevi,9840097992,http://www.gojobs.biz
Most Urgent Vacancy for Commercial Executive-only Males,Genius Consultants Limited  hiring for Medical industry,Medical Devices / Equipments,Accounts Executive/Accountant,"INR 3,00,000 - 4,50,000 PA.",nagpur,"Responsible for all activities relating to cost effective logistics and to ensure seamless and cost effective movement of consignment  To ensure timely and error free dispatches of orders  Execution of both Import & Export Shipment  Ensuring shipment coordination between vendor, internal departments and customer  To ensure that the shipments are in compliance with customs rules and regulations  To evaluate and recommend appropriate logistics vendors to best support the business  Resolving custom clearance matters  To maintain stock, stock register, inward & outward etc.  To prepare e- way bill as per GST Act.",3 - 5 yrs,keerthi,9963433907,NA
Area Manager - B2B Sales,Symbiosis Management Consultant Pvt. Ltd.,"Automobile, Auto Anciliary, Auto Components",Institutional Sales/Business Development Manager,Not Disclosed by Recruiter,nagpur,Roles and responsibilities   Reaching the target customers and goal setting for your area  Provide ongoing support to retain customer accounts and plans to aggressively acquire new customer  Preferred experience in Direct selling / key account management/ Institutional & corporate selling  .Prepare comprehensive sales proposals   Must have min 60% in all academics,3 - 8 yrs,SOUMYADEEPROY,NA,NA
Sales Engineer / Executive - Machinery Mfg.- Nagpur / Ahmedabad,Prime Placement and Manpower Services  hiring for Leading Machinery Mfg. Company Located at Ahmedabad - Gujarat.,"Industrial Products, Heavy Machinery",Sales Executive/Officer,"INR 1,75,000 - 2,50,000 PA. Negotiable - Depending Upon the Candidate & Experience",nagpur,Mechanical / Electrical Engineer with min 6 months to 1 year of experience in sales field. Must have experience in selling machinery preferably from Woodworking Machinery Mfg. Research online to qualify leads & build sales pipeline.,1 - 4 yrs,Mr.HiteshDesai,7990023115,http://www.primeplacement.org
Times Internet : Hiring Sales Professional (dineout Business),Peopleton Solutions LLP  hiring for Times Internet,"Internet, Ecommerce",Sales/Business Development Manager,"INR 4,25,000 - 6,00,000 PA.",nagpur,"Experience in food industry selling B2B products
Maintaining and developing relationships with existing restaurants in person and via telephone calls and emails",0 - 5 yrs,Manish,NA,NA
Direct Sales in Education Sector Sal+inc,Excel HR Solutions Private Limited  hiring for Client,"Education, Teaching, Training",Sales Executive/Officer,"INR 3,00,000 - 4,00,000 PA.",nagpur,"We are looking dynamic Sales professionals to work as Academic Consultants. 
Cold call - fix appointment - visit - Counsel - Demo - close 
Up to 1L incentives per month can credit weekly 
Brand product in market and high demand in education sector",0 - 5 yrs,Bhavna,9867205162,NA
Network L2  (deployment role for Nagpur with IT Telecom MNC),S2 INFOTECH INTERNATIONAL LIMITED,"IT-Software, Software Services",Network Administrator,Not Disclosed by Recruiter,nagpur,"Roles and responsibilities Minimum 5 years of Experience in Cisco Networking  Products . 	Implementation & Troubleshooting experience on Cisco Catalyst switches including 65xx /45xx 	Good understanding of Cisco Swithcing Products architecture including Catalyst 9300/9400/9500 	Good Understanding of SDLAN technology and deployment best practices  	Good Understanding of Cisco DNA Deployment and integration with SDLAN Architecture Knowledge and working experience on Cisco Security Products (Firepower ,ISE, Content Security Management ) is an added advantage.",4 - 9 yrs,SmithaRatish,NA,NA
